flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
224	A	1722698027.366408000	17	0x0000	192.168.1.197	239.255.255.250	48359	15600
225	A	1722698028.365146000	2	0x0000	192.168.1.195	224.0.0.252	0	0
226	A	1722698030.413643000	17	0x0000	192.168.1.197	192.168.1.255	38628	15600
119	A	1722697902.400168000	2	0x0000	192.168.1.214	239.255.102.18	0	0
227	A	1722698032.090936000	17	0x0000	192.168.1.1	239.255.255.250	56304	1900
228	A	1722698032.841039000	17	0x0000	192.168.1.1	239.255.255.250	56571	1900
29	A	1722697807.350868000	0	0x0000	-	-	0	0
29	B	1722697807.354795000	0	0x0000	-	-	0	0
229	A	1722698033.367733000	17	0x0000	192.168.1.197	239.255.255.250	55143	15600
230	A	1722698034.196738000	17	0x0000	192.168.1.200	8.8.8.8	51575	53
230	B	1722698034.223974000	17	0x0000	8.8.8.8	192.168.1.200	53	51575
231	A	1722698036.455255000	17	0x0000	192.168.1.197	192.168.1.255	59359	15600
234	A	1722698039.369084000	17	0x0000	192.168.1.197	239.255.255.250	34126	15600
232	A	1722698036.671711000	17	0x0000	192.168.1.214	239.255.255.250	60206	1900
233	A	1722698036.674357000	17	0x0000	192.168.1.214	239.255.255.250	60208	1900
235	A	1722698042.394628000	17	0x0000	192.168.1.197	192.168.1.255	44442	15600
236	A	1722698043.091499000	17	0x0000	192.168.1.1	239.255.255.250	37819	1900
237	A	1722698043.842872000	17	0x0000	192.168.1.1	239.255.255.250	50694	1900
238	A	1722698045.370271000	17	0x0000	192.168.1.197	239.255.255.250	46486	15600
239	A	1722698048.436268000	17	0x0000	192.168.1.197	192.168.1.255	57665	15600
240	A	1722698051.371884000	17	0x0000	192.168.1.197	239.255.255.250	42051	15600
241	A	1722698053.091519000	17	0x0000	192.168.1.1	239.255.255.250	53428	1900
242	A	1722698053.841129000	17	0x0000	192.168.1.1	239.255.255.250	59720	1900
243	A	1722698054.479542000	17	0x0000	192.168.1.197	192.168.1.255	34071	15600
244	A	1722698054.490461000	17	0x0000	192.168.1.137	239.255.255.250	47855	1900
245	A	1722698055.401419000	17	0x0000	192.168.1.200	8.8.8.8	65135	53
245	B	1722698055.410146000	17	0x0000	8.8.8.8	192.168.1.200	53	65135
246	A	1722698057.394780000	17	0x0000	192.168.1.197	239.255.255.250	34384	15600
247	A	1722698060.418971000	17	0x0000	192.168.1.197	192.168.1.255	48018	15600
